Hidden Layers,Learning Rate,Final Loss,Final Accuracy,Test Accuracy,Execution Time
"(160, 100)",1,2.5133023,0.1,0.1008995,1161.922483921051
"(100, 160)",1,2.3474786,0.2,0.09799953,1152.401622056961
"(100, 100)",1,2.343204,0.3,0.10139951,1204.170535326004
"(100, 60)",1,2.5014539,0.3,0.1008995,1451.793979883194
"(60, 60)",1,2.4884982,0.1,0.100999504,1364.8306300640106
