Hidden Layers,Learning Rate,Final Loss,Final Accuracy,Test Accuracy,Execution Time
"(160, 100)",0.001,0.0,1.0,0.9724017,1254.4298334121704
"(100, 160)",0.001,0.0,1.0,0.9664017,1115.669737815857
"(100, 100)",0.001,0.0,1.0,0.9667023,1236.1683313846588
"(100, 60)",0.001,1.0427845,0.9,0.9592022,1431.7439789772034
"(60, 60)",0.001,0.0,1.0,0.9538021,1182.8359265327454
