Hidden Layers,Learning Rate,Final Loss,Final Accuracy,Test Accuracy,Execution Time
"(160, 100)",0.01,0.44234714,1.0,0.72850025,1230.5144493579865
"(100, 160)",0.01,0.17328367,0.9,0.9195023,1046.4443924427032
"(100, 100)",0.01,0.65243167,0.8,0.79200083,1198.3849339485168
"(100, 60)",0.01,0.43322295,0.8,0.8206008,1428.809107542038
"(60, 60)",0.01,0.20969968,0.9,0.91570216,1321.9372215270996
